CODCLAVECIC,TT,MontoPD,ScoreApplicantVendida,TieneGarantia,MontoGarantiaBCP,NumSegmentoOrtogonal,FlgComportamientoPersona,MontoSolicitado,ProductoMic,TipoCreditoMic,TipoActivo,CampanaMic,RatioEndeudamiento,CantidadPlazo,Moneda,DeltaEntidades,PeriodoGracia,MontoTasaEspecial,NumMesesAntiguedad,V_CodLocalidad,RatioEndeudamientoU6MU12M,FlgTenenciaPasivo,MontoTipoCambio,MontoGarantiaComercial,MontoGarantiaAfectacion,NumPDVendida,ScoreApplicant,CAMPANIA_PYME,TEA_PIZARRA,TEA_10DD,MESAPERTURA,canal_venta,FECHA
215722292,0.077759833,0.07124167,322,SIN,0,4,1,120000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,12,SOLES,0 o menos,0,0.27,96,1113,1,1,1,0,0,0.07124167,322,REACTIVO REMOTO,0.27,0.27,202311,DIGITAL,3/11/2023
215722234,0.077784682,0.05156,342,SIN,0,5,1,180000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.874811114,25,SOLES,0 o menos,0,0.225,24,1327,0.485400375,1,1,0,0,0.05156,342,REACTIVO,0.225,0.225,202311,TRADICIONAL,3/11/2023
215722240,0.078528567,0.07927,316,SIN,0,5,1,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,36,SOLES,0 o menos,0,0.205,351,1311,1,1,1,0,0,0.07927,316,REACTIVO,0.205,0.205,202311,TRADICIONAL,3/11/2023
215722361,0.077758548,0.05033607,344,SIN,0,4,0,23000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.759094815,12,SOLES,0 o menos,0,0.28,121,654,0.57242397,1,1,0,0,0.05033607,344,REACTIVO REMOTO,0.28,0.28,202311,DIGITAL,3/11/2023
215722417,0.077746552,0.039,359,SIN,0,5,1,320000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.341037076,24,SOLES,0 o menos,0,0.15,28,1778,0.471339911,1,1,0,0,0.039,359,REACTIVO,0.15,0.15,202311,TRADICIONAL,3/11/2023
215722242,0.07778586,0.09037,308,SIN,0,3,1,57000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.233131349,25,SOLES,Incrementa,0,0.26,37,1306,0.235439667,1,1,0,0,0.09037,308,REACTIVO,0.26,0.26,202311,TRADICIONAL,3/11/2023
215722403,0.078571652,0.0248,386,SIN,0,5,1,300000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.999997663,36,SOLES,Incrementa,0,0.145,161,1321,0.560552027,1,1,0,0,0.0248,386,REACTIVO,0.145,0.145,202311,TRADICIONAL,3/11/2023
215722222,0.077746659,0.05849,335,CON,698574,4,1,396000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,0.581081473,24,SOLES,0 o menos,0,0.16,168,1298,0.508609672,1,1,698574,698574,0.05849,335,REACTIVO,0.16,0.16,202311,TRADICIONAL,3/11/2023
215722237,0.077591368,0.08482,312,SIN,0,5,0,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,18,SOLES,Incrementa,0,0.215,94,1310,1,1,1,0,0,0.08482,312,REACTIVO,0.215,0.215,202311,TRADICIONAL,3/11/2023
215713119,0.07858923,0.05445,339,SIN,0,14,1,150000,EFECTIVO DE NEGOCIO,CATR,NOT,CREDITO FLEXIBLE,1,36,SOLES,Incrementa,0,0.185,86,1324,1,1,1,0,0,0.05445,339,REACTIVO,0.185,0.185,202311,TRADICIONAL,3/11/2023
