product_code_final,Moneda,CantidadPlazo,t,prepagoRDM
1,SOLES,18,95,0
1,SOLES,18,96,0
1,SOLES,18,97,0
1,SOLES,18,98,0
1,SOLES,18,99,0
1,SOLES,18,100,0
1,SOLES,18,101,0
1,SOLES,18,102,0
1,SOLES,18,103,0
1,SOLES,18,104,0
1,SOLES,18,105,0
1,SOLES,18,106,0
1,SOLES,18,107,0
1,SOLES,18,108,0
1,SOLES,18,109,0
1,SOLES,18,110,0
1,SOLES,18,111,0
1,SOLES,18,112,0
1,SOLES,18,113,0
1,SOLES,18,114,0
1,SOLES,18,115,0
1,SOLES,18,116,0
1,SOLES,18,117,0
1,SOLES,18,118,0
1,SOLES,18,119,0
1,SOLES,18,120,0
1,SOLES,18,121,0
1,SOLES,18,122,0
1,SOLES,18,123,0
1,SOLES,18,124,0
1,SOLES,18,125,0
1,SOLES,18,126,0
1,SOLES,18,127,0
1,SOLES,18,128,0
1,SOLES,18,129,0
1,SOLES,18,130,0
1,SOLES,18,131,0
1,SOLES,18,132,0
1,SOLES,18,133,0
1,SOLES,18,134,0
1,SOLES,18,135,0
1,SOLES,18,136,0
1,SOLES,18,137,0
1,SOLES,18,138,0
1,SOLES,18,139,0
1,SOLES,18,140,0
1,SOLES,18,141,0
1,SOLES,18,142,0
1,SOLES,18,143,0
1,SOLES,18,144,0
1,SOLES,24,1,0
1,SOLES,24,2,1.44E-63
1,SOLES,24,3,1.68E-63
1,SOLES,24,4,1.90E-63
1,SOLES,24,5,2.09E-63
1,SOLES,24,6,2.26E-63
1,SOLES,24,7,2.40E-63
1,SOLES,24,8,2.53E-63
1,SOLES,24,9,2.63E-63
1,SOLES,24,10,2.72E-63
1,SOLES,24,11,2.80E-63
1,SOLES,24,12,2.86E-63
1,SOLES,24,13,2.91E-63
1,SOLES,24,14,2.94E-63
1,SOLES,24,15,2.97E-63
1,SOLES,24,16,2.99E-63
1,SOLES,24,17,3.00E-63
1,SOLES,24,18,3.00E-63
1,SOLES,24,19,3.00E-63
1,SOLES,24,20,2.99E-63
1,SOLES,24,21,2.98E-63
1,SOLES,24,22,2.97E-63
1,SOLES,24,23,2.96E-63
1,SOLES,24,24,2.94E-63
1,SOLES,24,25,2.92E-63
1,SOLES,24,26,0
1,SOLES,24,27,0
1,SOLES,24,28,0
1,SOLES,24,29,0
1,SOLES,24,30,0
1,SOLES,24,31,0
1,SOLES,24,32,0
1,SOLES,24,33,0
1,SOLES,24,34,0
1,SOLES,24,35,0
1,SOLES,24,36,0
1,SOLES,24,37,0
1,SOLES,24,38,0
1,SOLES,24,39,0
1,SOLES,24,40,0
1,SOLES,24,41,0
1,SOLES,24,42,0
1,SOLES,24,43,0
1,SOLES,24,44,0
1,SOLES,24,45,0
1,SOLES,24,46,0
1,SOLES,24,47,0
1,SOLES,24,48,0
1,SOLES,24,49,0
1,SOLES,24,50,0
1,SOLES,24,51,0
1,SOLES,24,52,0
1,SOLES,24,53,0
1,SOLES,24,54,0
1,SOLES,24,55,0
1,SOLES,24,56,0
1,SOLES,24,57,0
1,SOLES,24,58,0
1,SOLES,24,59,0
1,SOLES,24,60,0
1,SOLES,24,61,0
1,SOLES,24,62,0
1,SOLES,24,63,0
1,SOLES,24,64,0
1,SOLES,24,65,0
1,SOLES,24,66,0
1,SOLES,24,67,0
1,SOLES,24,68,0
1,SOLES,24,69,0
1,SOLES,24,70,0
1,SOLES,24,71,0
1,SOLES,24,72,0
1,SOLES,24,73,0
1,SOLES,24,74,0
1,SOLES,24,75,0
1,SOLES,24,76,0
1,SOLES,24,77,0
1,SOLES,24,78,0
1,SOLES,24,79,0
1,SOLES,24,80,0
1,SOLES,24,81,0
1,SOLES,24,82,0
1,SOLES,24,83,0
1,SOLES,24,84,0
1,SOLES,24,85,0
1,SOLES,24,86,0
1,SOLES,24,87,0
1,SOLES,24,88,0
1,SOLES,24,89,0
1,SOLES,24,90,0
1,SOLES,24,91,0
1,SOLES,24,92,0
1,SOLES,24,93,0
1,SOLES,24,94,0
1,SOLES,24,95,0
1,SOLES,24,96,0
1,SOLES,24,97,0
1,SOLES,24,98,0
1,SOLES,24,99,0
1,SOLES,24,100,0
1,SOLES,24,101,0
1,SOLES,24,102,0
1,SOLES,24,103,0
1,SOLES,24,104,0
1,SOLES,24,105,0
1,SOLES,24,106,0
1,SOLES,24,107,0
1,SOLES,24,108,0
1,SOLES,24,109,0
1,SOLES,24,110,0
1,SOLES,24,111,0
1,SOLES,24,112,0
1,SOLES,24,113,0
1,SOLES,24,114,0
1,SOLES,24,115,0
1,SOLES,24,116,0
1,SOLES,24,117,0
1,SOLES,24,118,0
1,SOLES,24,119,0
1,SOLES,24,120,0
1,SOLES,24,121,0
1,SOLES,24,122,0
1,SOLES,24,123,0
1,SOLES,24,124,0
1,SOLES,24,125,0
1,SOLES,24,126,0
1,SOLES,24,127,0
1,SOLES,24,128,0
1,SOLES,24,129,0
1,SOLES,24,130,0
1,SOLES,24,131,0
1,SOLES,24,132,0
1,SOLES,24,133,0
1,SOLES,24,134,0
1,SOLES,24,135,0
1,SOLES,24,136,0
1,SOLES,24,137,0
1,SOLES,24,138,0
1,SOLES,24,139,0
1,SOLES,24,140,0
1,SOLES,24,141,0
1,SOLES,24,142,0
1,SOLES,24,143,0
1,SOLES,24,144,0
1,DOLARES,6,1,0
1,DOLARES,6,2,0.011084386
1,DOLARES,6,3,0.012163164
1,DOLARES,6,4,0.013125221
1,DOLARES,6,5,0.013977873
1,DOLARES,6,6,0.014728192
1,DOLARES,6,7,0.015383093
1,DOLARES,6,8,0
1,DOLARES,6,9,0
1,DOLARES,6,10,0
1,DOLARES,6,11,0
1,DOLARES,6,12,0
1,DOLARES,6,13,0
1,DOLARES,6,14,0
1,DOLARES,6,15,0
1,DOLARES,6,16,0
1,DOLARES,6,17,0
1,DOLARES,6,18,0
1,DOLARES,6,19,0
1,DOLARES,6,20,0
1,DOLARES,6,21,0
1,DOLARES,6,22,0
1,DOLARES,6,23,0
1,DOLARES,6,24,0
1,DOLARES,6,25,0
1,DOLARES,6,26,0
1,DOLARES,6,27,0
1,DOLARES,6,28,0
1,DOLARES,6,29,0
1,DOLARES,6,30,0
1,DOLARES,6,31,0
1,DOLARES,6,32,0
1,DOLARES,6,33,0
1,DOLARES,6,34,0
1,DOLARES,6,35,0
1,DOLARES,6,36,0
1,DOLARES,6,37,0
1,DOLARES,6,38,0
1,DOLARES,6,39,0
1,DOLARES,6,40,0
1,DOLARES,6,41,0
1,DOLARES,6,42,0
1,DOLARES,6,43,0
1,DOLARES,6,44,0
1,DOLARES,6,45,0
1,DOLARES,6,46,0
1,DOLARES,6,47,0
1,DOLARES,6,48,0
1,DOLARES,6,49,0
1,DOLARES,6,50,0
1,DOLARES,6,51,0
1,DOLARES,6,52,0
1,DOLARES,6,53,0
1,DOLARES,6,54,0
1,DOLARES,6,55,0
1,DOLARES,6,56,0
1,DOLARES,6,57,0
1,DOLARES,6,58,0
1,DOLARES,6,59,0
1,DOLARES,6,60,0
1,DOLARES,6,61,0
1,DOLARES,6,62,0
1,DOLARES,6,63,0
1,DOLARES,6,64,0
1,DOLARES,6,65,0
1,DOLARES,6,66,0
1,DOLARES,6,67,0
1,DOLARES,6,68,0
1,DOLARES,6,69,0
1,DOLARES,6,70,0
1,DOLARES,6,71,0
1,DOLARES,6,72,0
1,DOLARES,6,73,0
1,DOLARES,6,74,0
1,DOLARES,6,75,0
1,DOLARES,6,76,0
1,DOLARES,6,77,0
1,DOLARES,6,78,0
1,DOLARES,6,79,0
1,DOLARES,6,80,0
1,DOLARES,6,81,0
1,DOLARES,6,82,0
1,DOLARES,6,83,0
1,DOLARES,6,84,0
1,DOLARES,6,85,0
1,DOLARES,6,86,0
1,DOLARES,6,87,0
1,DOLARES,6,88,0
1,DOLARES,6,89,0
1,DOLARES,6,90,0
1,DOLARES,6,91,0
1,DOLARES,6,92,0
1,DOLARES,6,93,0
1,DOLARES,6,94,0
1,DOLARES,6,95,0
1,DOLARES,6,96,0
1,DOLARES,6,97,0
1,DOLARES,6,98,0
1,DOLARES,6,99,0
1,DOLARES,6,100,0
1,DOLARES,6,101,0
1,DOLARES,6,102,0
1,DOLARES,6,103,0
1,DOLARES,6,104,0
1,DOLARES,6,105,0
1,DOLARES,6,106,0
1,DOLARES,6,107,0
1,DOLARES,6,108,0
1,DOLARES,6,109,0
1,DOLARES,6,110,0
1,DOLARES,6,111,0
1,DOLARES,6,112,0
1,DOLARES,6,113,0
1,DOLARES,6,114,0
1,DOLARES,6,115,0
1,DOLARES,6,116,0
1,DOLARES,6,117,0
1,DOLARES,6,118,0
1,DOLARES,6,119,0
1,DOLARES,6,120,0
1,DOLARES,6,121,0
1,DOLARES,6,122,0
1,DOLARES,6,123,0
1,DOLARES,6,124,0
1,DOLARES,6,125,0
1,DOLARES,6,126,0
1,DOLARES,6,127,0
1,DOLARES,6,128,0
1,DOLARES,6,129,0
1,DOLARES,6,130,0
1,DOLARES,6,131,0
1,DOLARES,6,132,0
1,DOLARES,6,133,0
1,DOLARES,6,134,0
1,DOLARES,6,135,0
1,DOLARES,6,136,0
1,DOLARES,6,137,0
1,DOLARES,6,138,0
1,DOLARES,6,139,0
1,DOLARES,6,140,0
1,DOLARES,6,141,0
1,DOLARES,6,142,0
1,DOLARES,6,143,0
1,DOLARES,6,144,0
1,DOLARES,12,1,0
1,DOLARES,12,2,1.35E-63
1,DOLARES,12,3,1.48E-63
1,DOLARES,12,4,1.60E-63
1,DOLARES,12,5,1.70E-63
1,DOLARES,12,6,1.79E-63
1,DOLARES,12,7,1.87E-63
1,DOLARES,12,8,1.94E-63
1,DOLARES,12,9,2.00E-63
1,DOLARES,12,10,2.05E-63
1,DOLARES,12,11,2.09E-63
1,DOLARES,12,12,2.12E-63
1,DOLARES,12,13,2.15E-63
1,DOLARES,12,14,0
1,DOLARES,12,15,0
1,DOLARES,12,16,0
1,DOLARES,12,17,0
1,DOLARES,12,18,0
1,DOLARES,12,19,0
1,DOLARES,12,20,0
1,DOLARES,12,21,0
1,DOLARES,12,22,0
1,DOLARES,12,23,0
1,DOLARES,12,24,0
1,DOLARES,12,25,0
1,DOLARES,12,26,0
1,DOLARES,12,27,0
1,DOLARES,12,28,0
1,DOLARES,12,29,0
1,DOLARES,12,30,0
1,DOLARES,12,31,0
1,DOLARES,12,32,0
1,DOLARES,12,33,0
1,DOLARES,12,34,0
1,DOLARES,12,35,0
1,DOLARES,12,36,0
1,DOLARES,12,37,0
1,DOLARES,12,38,0
1,DOLARES,12,39,0
1,DOLARES,12,40,0
1,DOLARES,12,41,0
1,DOLARES,12,42,0
1,DOLARES,12,43,0
1,DOLARES,12,44,0
1,DOLARES,12,45,0
1,DOLARES,12,46,0
1,DOLARES,12,47,0
1,DOLARES,12,48,0
1,DOLARES,12,49,0
1,DOLARES,12,50,0
1,DOLARES,12,51,0
1,DOLARES,12,52,0
1,DOLARES,12,53,0
1,DOLARES,12,54,0
1,DOLARES,12,55,0
1,DOLARES,12,56,0
1,DOLARES,12,57,0
1,DOLARES,12,58,0
1,DOLARES,12,59,0
1,DOLARES,12,60,0
1,DOLARES,12,61,0
1,DOLARES,12,62,0
1,DOLARES,12,63,0
1,DOLARES,12,64,0
1,DOLARES,12,65,0
1,DOLARES,12,66,0
1,DOLARES,12,67,0
1,DOLARES,12,68,0
1,DOLARES,12,69,0
1,DOLARES,12,70,0
1,DOLARES,12,71,0
1,DOLARES,12,72,0
1,DOLARES,12,73,0
1,DOLARES,12,74,0
1,DOLARES,12,75,0
1,DOLARES,12,76,0
1,DOLARES,12,77,0
1,DOLARES,12,78,0
1,DOLARES,12,79,0
1,DOLARES,12,80,0
1,DOLARES,12,81,0
1,DOLARES,12,82,0
1,DOLARES,12,83,0
1,DOLARES,12,84,0
1,DOLARES,12,85,0
1,DOLARES,12,86,0
1,DOLARES,12,87,0
1,DOLARES,12,88,0
1,DOLARES,12,89,0
1,DOLARES,12,90,0
1,DOLARES,12,91,0
1,DOLARES,12,92,0
1,DOLARES,12,93,0
1,DOLARES,12,94,0
1,DOLARES,12,95,0
1,DOLARES,12,96,0
1,DOLARES,12,97,0
1,DOLARES,12,98,0
1,DOLARES,12,99,0
1,DOLARES,12,100,0
1,DOLARES,12,101,0
1,DOLARES,12,102,0
1,DOLARES,12,103,0
1,DOLARES,12,104,0
1,DOLARES,12,105,0
1,DOLARES,12,106,0
1,DOLARES,12,107,0
1,DOLARES,12,108,0
1,DOLARES,12,109,0
1,DOLARES,12,110,0
1,DOLARES,12,111,0
1,DOLARES,12,112,0
1,DOLARES,12,113,0
1,DOLARES,12,114,0
1,DOLARES,12,115,0
1,DOLARES,12,116,0
1,DOLARES,12,117,0
1,DOLARES,12,118,0
1,DOLARES,12,119,0
1,DOLARES,12,120,0
1,DOLARES,12,121,0
1,DOLARES,12,122,0
1,DOLARES,12,123,0
1,DOLARES,12,124,0
1,DOLARES,12,125,0
1,DOLARES,12,126,0
1,DOLARES,12,127,0
1,DOLARES,12,128,0
1,DOLARES,12,129,0
1,DOLARES,12,130,0
1,DOLARES,12,131,0
1,DOLARES,12,132,0
1,DOLARES,12,133,0
1,DOLARES,12,134,0
1,DOLARES,12,135,0
1,DOLARES,12,136,0
1,DOLARES,12,137,0
1,DOLARES,12,138,0
1,DOLARES,12,139,0
1,DOLARES,12,140,0
1,DOLARES,12,141,0
1,DOLARES,12,142,0
1,DOLARES,12,143,0
1,DOLARES,12,144,0
1,DOLARES,18,1,0
1,DOLARES,18,2,0.029179361
1,DOLARES,18,3,0.032019216
1,DOLARES,18,4,0.034551805
